"iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date.observed","Description","Common.name","Recorded.by","Captive.Cultivated","Quality.grade","coordinateUncertaintyInMeters"
"Hylocomium splendens",122555,"Hylocomium splendens",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Hylocomiaceae","","","Hylocomium","splendens","iNat:2565050",48.930507,-123.4759,"2015-02-12",NA,NA,"Lauren Magner","false","research",43
"Polytrichum juniperinum",68286,"Polytrichum juniperinum",NA,"Plantae","Bryophyta","","","Polytrichopsida","","","Polytrichales","","","","Polytrichaceae","","","Polytrichum","juniperinum","iNat:2565055",48.930507,-123.4759,"2015-02-12",NA,NA,"Lauren Magner","false","research",43
"Hylocomium splendens",122555,"Hylocomium splendens",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Hylocomiaceae","","","Hylocomium","splendens","iNat:2565148",48.931466,-123.479891,"2015-02-12",NA,NA,"Lauren Magner","false","research",79
"Porella",55250,"Porella",NA,"Plantae","Marchantiophyta","","","Jungermanniopsida","Jungermanniidae","","Porellales","","","","Porellaceae","","","Porella","","iNat:2565172",48.931522,-123.474312,"2015-02-12",NA,NA,"Lauren Magner","false","needs_id",371
"Hylocomium splendens",122555,"Hylocomium splendens",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Hylocomiaceae","","","Hylocomium","splendens","iNat:2565734",48.932748,-123.475814,"2015-02-12",NA,NA,"Lauren Magner","false","research",43
"Dicranoweisia cirrata",67949,"Dicranoweisia cirrata",NA,"Plantae","Bryophyta","","","Bryopsida","","","Dicranales","","","","Rhabdoweisiaceae","","","Dicranoweisia","cirrata","iNat:2566285",48.933242,-123.481264,"2015-02-22",NA,NA,"Andrew Simon","false","research",87
"Lophocolea",83965,"Lophocolea",NA,"Plantae","Marchantiophyta","","","Jungermanniopsida","Jungermanniidae","","Jungermanniales","Lophocoleineae","","","Lophocoleaceae","","","Lophocolea","","iNat:2566291",48.933242,-123.481264,"2015-02-22",NA,NA,"Andrew Simon","false","needs_id",87
"Scleropodium obtusifolium",123794,"Scleropodium obtusifolium",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Brachytheciaceae","","","Scleropodium","obtusifolium","iNat:2566343",48.932311,-123.483968,"2015-03-04",NA,NA,"Andrew Simon","false","research",87
"Dichelyma uncinatum",161818,"Dichelyma uncinatum",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Fontinalaceae","","","Dichelyma","uncinatum","iNat:2566347",48.930733,-123.477402,"2015-03-04",NA,NA,"Andrew Simon","false","research",66
"Kindbergia praelonga",1122172,"Kindbergia praelonga",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Brachytheciaceae","","","Kindbergia","praelonga","iNat:2566358",48.930733,-123.477402,"2015-03-04",NA,NA,"Andrew Simon","false","needs_id",349
"Kindbergia oregana",120909,"Kindbergia oregana",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Brachytheciaceae","","","Kindbergia","oregana","iNat:2566405",48.930338,-123.476372,"2015-03-04",NA,NA,"Andrew Simon","false","needs_id",174
"Dicranoweisia cirrata",67949,"Dicranoweisia cirrata",NA,"Plantae","Bryophyta","","","Bryopsida","","","Dicranales","","","","Rhabdoweisiaceae","","","Dicranoweisia","cirrata","iNat:2566614",48.930112,-123.472767,"2015-03-04",NA,NA,"Andrew Simon","false","research",185
"Hymenoloma crispulum",1122768,"Hymenoloma crispulum",NA,"Plantae","Bryophyta","","","Bryopsida","","","Dicranales","","","","Hymenolomataceae","","","Hymenoloma","crispulum","iNat:2567328",48.931784,-123.482723,"2015-04-04",NA,NA,"Andrew Simon","false","research",86
"Dicranum",123120,"Dicranum",NA,"Plantae","Bryophyta","","","Bryopsida","","","Dicranales","","","","Dicranaceae","","","Dicranum","","iNat:2567336",48.931866,-123.482637,"2015-04-04",NA,NA,"Andrew Simon","false","needs_id",87
"Pseudisothecium cristatum",1262637,"Pseudisothecium cristatum",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Lembophyllaceae","","","Pseudisothecium","cristatum","iNat:2567372",48.931857,-123.482037,"2015-04-04",NA,NA,"Andrew Simon","false","research",174
"Dicranum",123120,"Dicranum",NA,"Plantae","Bryophyta","","","Bryopsida","","","Dicranales","","","","Dicranaceae","","","Dicranum","","iNat:2567383",48.931922,-123.482294,"2015-04-04",NA,NA,"Andrew Simon","false","needs_id",87
"Scleropodium obtusifolium",123794,"Scleropodium obtusifolium",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Brachytheciaceae","","","Scleropodium","obtusifolium","iNat:2567562",48.932221,-123.483753,"2015-04-04",NA,NA,"Andrew Simon","false","needs_id",349
"Dicranoweisia cirrata",67949,"Dicranoweisia cirrata",NA,"Plantae","Bryophyta","","","Bryopsida","","","Dicranales","","","","Rhabdoweisiaceae","","","Dicranoweisia","cirrata","iNat:2567651",48.93283,-123.481607,"2015-04-04",NA,NA,"Andrew Simon","false","research",174
"Dicranum",123120,"Dicranum",NA,"Plantae","Bryophyta","","","Bryopsida","","","Dicranales","","","","Dicranaceae","","","Dicranum","","iNat:2567660",48.93283,-123.481607,"2015-04-04",NA,NA,"Andrew Simon","false","needs_id",174
"Polytrichum juniperinum",68286,"Polytrichum juniperinum",NA,"Plantae","Bryophyta","","","Polytrichopsida","","","Polytrichales","","","","Polytrichaceae","","","Polytrichum","juniperinum","iNat:2567667",48.932661,-123.480749,"2015-04-04",NA,NA,"Andrew Simon","false","research",174
"Scleropodium obtusifolium",123794,"Scleropodium obtusifolium",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Brachytheciaceae","","","Scleropodium","obtusifolium","iNat:2567889",48.932492,-123.483667,"2015-05-04",NA,NA,"Andrew Simon","false","research",174
"Kindbergia praelonga",1122172,"Kindbergia praelonga",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Brachytheciaceae","","","Kindbergia","praelonga","iNat:2568940",48.93062,-123.466587,"2015-03-04",NA,NA,"Lauren Magner","false","research",123
"Kindbergia oregana",120909,"Kindbergia oregana",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Brachytheciaceae","","","Kindbergia","oregana","iNat:2568955",48.93062,-123.466587,"2015-03-04",NA,NA,"Lauren Magner","false","research",123
"Rhizomnium glabrescens",85421,"Rhizomnium glabrescens",NA,"Plantae","Bryophyta","","","Bryopsida","","","Bryales","","","","Mniaceae","","","Rhizomnium","glabrescens","iNat:2568990",48.93062,-123.466587,"2015-03-04",NA,NA,"Lauren Magner","false","research",123
"Dicranum",123120,"Dicranum",NA,"Plantae","Bryophyta","","","Bryopsida","","","Dicranales","","","","Dicranaceae","","","Dicranum","","iNat:2572184",48.883457,-123.33003,"2015-03-09",NA,NA,"Andrew Simon","false","needs_id",174
"Pulvigera",1123490,"Pulvigera",NA,"Plantae","Bryophyta","","","Bryopsida","","","Orthotrichales","","","","Orthotrichaceae","","","Pulvigera","","iNat:2572186",48.883457,-123.33003,"2015-03-09",NA,NA,"Andrew Simon","false","needs_id",174
"Kindbergia oregana",120909,"Kindbergia oregana",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Brachytheciaceae","","","Kindbergia","oregana","iNat:2573754",48.933044,-123.479676,"2015-03-25",NA,NA,"Lauren Magner","false","research",87
"Ceratodon purpureus",123117,"Ceratodon purpureus",NA,"Plantae","Bryophyta","","","Bryopsida","","","Dicranales","","","","Ditrichaceae","","","Ceratodon","purpureus","iNat:2573821",48.932932,-123.479204,"2015-03-25",NA,NA,"Lauren Magner","false","research",174
"Plagiomnium insigne",122705,"Plagiomnium insigne",NA,"Plantae","Bryophyta","","","Bryopsida","","","Bryales","","","","Mniaceae","","","Plagiomnium","insigne","iNat:2573827",48.932932,-123.479204,"2015-03-25",NA,NA,"Lauren Magner","false","research",174
"Fissidens bryoides",124421,"Fissidens bryoides",NA,"Plantae","Bryophyta","","","Bryopsida","","","Dicranales","","","","Fissidentaceae","","","Fissidens","bryoides","iNat:2573883",48.932086,-123.475342,"2015-03-25",NA,NA,"Lauren Magner","false","research",349
"Hypnum circinale",125464,"Hypnum circinale",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Hypnaceae","","","Hypnum","circinale","iNat:2573894",48.932086,-123.475342,"2015-03-25",NA,NA,"Lauren Magner","false","research",349
"Kindbergia oregana",120909,"Kindbergia oregana",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Brachytheciaceae","","","Kindbergia","oregana","iNat:2573901",48.932086,-123.475342,"2015-03-25",NA,NA,"Lauren Magner","false","research",349
"Kindbergia oregana",120909,"Kindbergia oregana",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Brachytheciaceae","","","Kindbergia","oregana","iNat:2573905",48.932086,-123.475342,"2015-03-25",NA,NA,"Lauren Magner","false","research",349
"Leucolepis acanthoneura",120870,"Leucolepis acanthoneura",NA,"Plantae","Bryophyta","","","Bryopsida","","","Bryales","","","","Mniaceae","","","Leucolepis","acanthoneura","iNat:2573920",48.932086,-123.475342,"2015-03-25",NA,NA,"Lauren Magner","false","research",349
"Hylocomium splendens",122555,"Hylocomium splendens",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Hylocomiaceae","","","Hylocomium","splendens","iNat:2575041",48.931635,-123.48165,"2015-03-27",NA,NA,"Lauren Magner","false","research",87
"Rhizomnium glabrescens",85421,"Rhizomnium glabrescens",NA,"Plantae","Bryophyta","","","Bryopsida","","","Bryales","","","","Mniaceae","","","Rhizomnium","glabrescens","iNat:2575052",48.931635,-123.48165,"2015-03-27",NA,NA,"Lauren Magner","false","research",87
"Dicranum",123120,"Dicranum",NA,"Plantae","Bryophyta","","","Bryopsida","","","Dicranales","","","","Dicranaceae","","","Dicranum","","iNat:2575060",48.931071,-123.48032,"2015-03-27",NA,NA,"Lauren Magner","false","needs_id",174
"Aulacomnium androgynum",124384,"Aulacomnium androgynum",NA,"Plantae","Bryophyta","","","Bryopsida","","","Aulacomniales","","","","Aulacomniaceae","","","Aulacomnium","androgynum","iNat:2575066",48.930789,-123.479505,"2015-03-27",NA,NA,"Lauren Magner","false","research",87
"Racomitrium elongatum",167681,"Racomitrium elongatum",NA,"Plantae","Bryophyta","","","Bryopsida","","","Grimmiales","","","","Grimmiaceae","","","Racomitrium","elongatum","iNat:2575073",48.930789,-123.479505,"2015-03-27",NA,NA,"Lauren Magner","false","research",87
"Hedwigia stellata",163552,"Hedwigia stellata",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hedwigiales","","","","Hedwigiaceae","","","Hedwigia","stellata","iNat:2575093",48.930845,-123.479247,"2015-03-27",NA,NA,"Lauren Magner","false","research",87
"Polytrichum piliferum",67905,"Polytrichum piliferum",NA,"Plantae","Bryophyta","","","Polytrichopsida","","","Polytrichales","","","","Polytrichaceae","","","Polytrichum","piliferum","iNat:2575106",48.932875,-123.485641,"2015-03-27",NA,NA,"Lauren Magner","false","research",160
"Dichelyma uncinatum",161818,"Dichelyma uncinatum",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Fontinalaceae","","","Dichelyma","uncinatum","iNat:2575112",48.930563,-123.477488,"2015-03-27",NA,NA,"Lauren Magner","false","research",87
"Stereodon subimponens",1123573,"Stereodon subimponens",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Stereodontaceae","","","Stereodon","subimponens","iNat:2575115",48.930563,-123.477488,"2015-03-27",NA,NA,"Lauren Magner","false","research",87
"Kindbergia praelonga",1122172,"Kindbergia praelonga",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Brachytheciaceae","","","Kindbergia","praelonga","iNat:2575118",48.930563,-123.477488,"2015-03-27",NA,NA,"Lauren Magner","false","research",87
"Neckera douglasii",69912,"Neckera douglasii",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Neckeraceae","","","Neckera","douglasii","iNat:2575119",48.930563,-123.477488,"2015-03-27",NA,NA,"Lauren Magner","false","research",87
"Pulvigera",1123490,"Pulvigera",NA,"Plantae","Bryophyta","","","Bryopsida","","","Orthotrichales","","","","Orthotrichaceae","","","Pulvigera","","iNat:2575120",48.930563,-123.477488,"2015-03-27",NA,NA,"Lauren Magner","false","needs_id",87
"Porella navicularis",55255,"Porella navicularis",NA,"Plantae","Marchantiophyta","","","Jungermanniopsida","Jungermanniidae","","Porellales","","","","Porellaceae","","","Porella","navicularis","iNat:2575121",48.930563,-123.477488,"2015-03-27",NA,NA,"Lauren Magner","false","research",87
"Porella navicularis",55255,"Porella navicularis",NA,"Plantae","Marchantiophyta","","","Jungermanniopsida","Jungermanniidae","","Porellales","","","","Porellaceae","","","Porella","navicularis","iNat:2575123",48.930563,-123.477488,"2015-03-27",NA,NA,"Lauren Magner","false","needs_id",87
"Rhytidiadelphus loreus",124422,"Rhytidiadelphus loreus",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Hylocomiaceae","","","Rhytidiadelphus","loreus","iNat:2575125",48.930563,-123.477488,"2015-03-27",NA,NA,"Lauren Magner","false","research",87
"Plagiothecium undulatum",123586,"Plagiothecium undulatum",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Plagiotheciaceae","","","Plagiothecium","undulatum","iNat:2575128",48.933467,-123.481693,"2015-03-27",NA,NA,"Lauren Magner","false","research",87
"Hylocomiadelphus triquetrus",1138381,"Hylocomiadelphus triquetrus",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Hylocomiaceae","","","Hylocomiadelphus","triquetrus","iNat:2575130",48.93327,-123.483496,"2015-03-27",NA,NA,"Lauren Magner","false","research",87
"Plagiothecium undulatum",123586,"Plagiothecium undulatum",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Plagiotheciaceae","","","Plagiothecium","undulatum","iNat:2575131",48.933298,-123.479934,"2015-03-27",NA,NA,"Lauren Magner","false","research",87
"Rhizomnium glabrescens",85421,"Rhizomnium glabrescens",NA,"Plantae","Bryophyta","","","Bryopsida","","","Bryales","","","","Mniaceae","","","Rhizomnium","glabrescens","iNat:2575137",48.933298,-123.479934,"2015-03-27",NA,NA,"Lauren Magner","false","research",87
"Kindbergia praelonga",1122172,"Kindbergia praelonga",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Brachytheciaceae","","","Kindbergia","praelonga","iNat:2575158",48.932199,-123.473539,"2015-03-27",NA,NA,"Lauren Magner","false","research",174
"Kindbergia praelonga",1122172,"Kindbergia praelonga",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Brachytheciaceae","","","Kindbergia","praelonga","iNat:2580194",48.930845,-123.477402,"2015-03-13",NA,NA,"Lauren Magner","false","research",698
"Rhizomnium glabrescens",85421,"Rhizomnium glabrescens",NA,"Plantae","Bryophyta","","","Bryopsida","","","Bryales","","","","Mniaceae","","","Rhizomnium","glabrescens","iNat:2580217",48.930535,-123.477659,"2015-03-13",NA,NA,"Lauren Magner","false","research",87
"Dicranum scoparium",123134,"Dicranum scoparium",NA,"Plantae","Bryophyta","","","Bryopsida","","","Dicranales","","","","Dicranaceae","","","Dicranum","scoparium","iNat:2588101",48.931669,-123.482337,"2015-03-26",NA,NA,"Andrew Simon","false","needs_id",87
"Hedwigia stellata",163552,"Hedwigia stellata",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hedwigiales","","","","Hedwigiaceae","","","Hedwigia","stellata","iNat:2588108",48.932627,-123.484697,"2015-03-26",NA,NA,"Andrew Simon","false","needs_id",87
"Pseudisothecium cristatum",1262637,"Pseudisothecium cristatum",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Lembophyllaceae","","","Pseudisothecium","cristatum","iNat:2588114",48.932627,-123.484697,"2015-03-26",NA,NA,"Andrew Simon","false","research",87
"Racomitrium elongatum",167681,"Racomitrium elongatum",NA,"Plantae","Bryophyta","","","Bryopsida","","","Grimmiales","","","","Grimmiaceae","","","Racomitrium","elongatum","iNat:2588180",48.932655,-123.484869,"2015-03-26",NA,NA,"Andrew Simon","false","research",87
"Lewinskya rupestris",589145,"Lewinskya rupestris",NA,"Plantae","Bryophyta","","","Bryopsida","","","Orthotrichales","","","","Orthotrichaceae","","","Lewinskya","rupestris","iNat:2588187",48.932887,-123.484612,"2015-03-26",NA,NA,"Andrew Simon","false","needs_id",174
"Polytrichum juniperinum",68286,"Polytrichum juniperinum",NA,"Plantae","Bryophyta","","","Polytrichopsida","","","Polytrichales","","","","Polytrichaceae","","","Polytrichum","juniperinum","iNat:2588188",48.932887,-123.484612,"2015-03-26",NA,NA,"Andrew Simon","false","research",174
"Orthotrichaceae",64086,"Orthotrichaceae",NA,"Plantae","Bryophyta","","","Bryopsida","","","Orthotrichales","","","","Orthotrichaceae","","","","","iNat:2589243",48.92983,-123.47105,"2015-03-13",NA,NA,"Lauren Magner","false","needs_id",349
"Rhytidiadelphus loreus",124422,"Rhytidiadelphus loreus",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Hylocomiaceae","","","Rhytidiadelphus","loreus","iNat:2591046",48.928226,-123.470407,"2015-03-26",NA,NA,"Andrew Simon","false","research",166
"Atrichum",55334,"Atrichum",NA,"Plantae","Bryophyta","","","Polytrichopsida","","","Polytrichales","","","","Polytrichaceae","","","Atrichum","","iNat:2591223",48.933281,-123.480148,"2015-03-26",NA,NA,"Andrew Simon","false","needs_id",174
"Fissidens bryoides",124421,"Fissidens bryoides",NA,"Plantae","Bryophyta","","","Bryopsida","","","Dicranales","","","","Fissidentaceae","","","Fissidens","bryoides","iNat:2591333",48.932825,-123.477659,"2015-03-26",NA,NA,"Andrew Simon","false","research",87
"Kindbergia oregana",120909,"Kindbergia oregana",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Brachytheciaceae","","","Kindbergia","oregana","iNat:2591389",48.930913,-123.469763,"2015-03-26",NA,NA,"Andrew Simon","false","research",174
"Schistidium maritimum",168578,"Schistidium maritimum",NA,"Plantae","Bryophyta","","","Bryopsida","","","Grimmiales","","","","Grimmiaceae","","","Schistidium","maritimum","iNat:2599834",48.929402,-123.475857,"2015-08-05",NA,NA,"Andrew Simon","false","needs_id",185
"Rhytidiadelphus loreus",124422,"Rhytidiadelphus loreus",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Hylocomiaceae","","","Rhytidiadelphus","loreus","iNat:2605256",48.934003,-123.485041,"2015-03-21",NA,NA,"Lauren Magner","false","research",349
"Kindbergia oregana",120909,"Kindbergia oregana",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Brachytheciaceae","","","Kindbergia","oregana","iNat:2605299",48.932128,-123.483796,"2015-03-21",NA,NA,"Lauren Magner","false","research",82
